,Unnamed: 0,play_id,game_id,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,pass_length,pass_length.1,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
4554,7131,313,2017111300,1,0,1,53.0,pass,1451.0,3.0,short,short,,0.0,0.2662043782879125,0.4601864718156226,2.5877168746057047,0.0
4555,13218,1847,2016121900,1,0,2,69.0,pass,97.0,3.0,short,short,,-4.0,0.1205455228425594,0.13686372606781186,0.8626509924660446,0.0
4556,16832,3249,2015112903,1,0,3,43.0,pass,650.0,3.0,short,short,,18.0,0.3334865177571989,0.3899735473854253,2.6333613574055024,1.0
4557,35897,3571,2011112706,1,0,3,18.0,pass,273.0,3.0,short,short,,-3.0,0.4356907775432542,0.3498533965099145,3.342180385005767,1.0
4558,1524,3091,2018101403,1,0,3,86.0,pass,545.0,3.0,short,short,,3.0,0.0970201978665356,0.2212149226117188,-0.6791904411493349,1.0
4559,7720,3324,2017113000,1,0,3,27.0,pass,464.0,3.0,short,short,,9.0,0.4136629497671079,0.379706938288301,3.281070780413257,1.0
4560,38337,2279,2010092700,1,0,2,38.0,pass,1581.0,3.0,short,short,,5.0,0.37268062712053796,0.4323466577806601,3.1186320652659685,1.0
4561,28445,891,2012091606,1,0,3,79.0,pass,975.0,3.0,short,short,,-3.0,0.14404264641843312,0.29119852384746303,-0.3035883066887739,1.0
4562,33871,237,2011100209,1,0,3,9.0,pass,1695.0,3.0,short,short,,0.0,0.5534812620042119,0.3715403259711047,3.87243484977921,0.0
4563,46843,1302,2010010315,1,0,2,67.0,pass,490.0,3.0,short,short,,0.0,0.16875910063877614,0.3160874361013241,1.0196223698039153,0.0
4564,35526,2397,2011112000,1,0,2,54.0,pass,1597.0,3.0,short,short,,-17.0,0.2767114996321328,0.4109176723520999,2.0566146409883626,1.0
4565,19940,1470,2014100600,1,0,3,73.0,pass,459.0,3.0,short,short,,-10.0,0.1402218302693009,0.26214023075103404,0.3292340119564237,0.0
4566,36680,3289,2011121802,1,1,1,55.0,pass,511.0,3.0,short,short,,-13.0,0.22224567313174048,0.4068806574215264,2.308471246767402,1.0
4567,35385,3214,2011111304,1,1,3,80.0,pass,296.0,3.0,,,,-7.0,0.0906720324521265,0.1897504878403672,-0.12049066859309665,0.0
4568,30932,2072,2012111806,1,0,3,78.0,pass,90.0,3.0,deep,deep,,-5.0,0.08683596338434381,0.10300643593281253,0.4590771932740541,1.0
4569,26143,2768,2013111708,1,0,3,65.0,pass,1375.0,3.0,short,short,,-24.0,0.2196046669274046,0.35355124387154496,0.9006139657389554,1.0
4570,21139,1503,2014110906,1,0,2,72.0,pass,385.0,3.0,short,short,,-7.0,0.13143265846594146,0.26674580675328924,0.5931799291354699,1.0
4571,41290,1081,2010121900,1,0,2,72.0,pass,778.0,3.0,short,short,,-6.0,0.16802623219027085,0.3372632514181602,0.6528026664423325,0.0
4572,27229,1365,2013120900,0,0,2,10.0,pass,330.0,3.0,short,short,,-7.0,0.4811350311889313,0.3750166047575422,3.763761936318356,1.0
4573,39908,2989,2010111405,0,0,2,27.0,pass,748.0,3.0,short,short,,5.0,0.4241944501898165,0.4249939139845009,3.6122276326331377,1.0
4574,21754,2064,2014112301,1,0,1,75.0,pass,25.0,3.0,short,short,,-11.0,0.07647235262338252,0.11239013254091253,0.6447308958061274,1.0
4575,12399,825,2016120400,1,0,3,39.0,pass,1086.0,3.0,,,,-4.0,0.3773289023833452,0.40972470843257786,2.9341918872071435,0.0
4576,3919,2153,2018122200,1,0,3,44.0,pass,1526.0,3.0,short,short,,-1.0,0.3483934165532133,0.4036793346054853,2.5658461980647296,0.0
