,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
3060,1,66.0,1,1726.0,-13.0,0.1980004310977737,0.4152498347511617
3062,1,66.0,1,1421.0,10.0,0.19851674342609849,0.4199209175165087
3064,7,30.0,2,975.0,-10.0,0.4612327520121087,0.35803619097758954
3066,1,46.0,1,724.0,-3.0,0.2901001601412536,0.4593574083818346
3068,10,66.0,1,442.0,3.0,0.18230734133364085,0.23043189262864025
3069,5,50.0,2,354.0,3.0,0.2540553695847917,0.29596169282547585
3075,1,54.0,1,617.0,-2.0,0.23878052612078696,0.4291638155185881
3079,1,73.0,2,58.0,-2.0,0.0905025271190237,0.1288405902173518
3080,7,31.0,2,13.0,-2.0,0.3406655331173293,0.1603876946765911
3083,1,56.0,1,1198.0,4.0,0.2491782913261017,0.4544260109324133
3085,3,77.0,1,799.0,7.0,0.14845880297827932,0.2924329018188213
3086,1,41.0,1,599.0,7.0,0.308384907397412,0.4535781702381098
3089,2,56.0,2,1715.0,0.0,0.2646186619982696,0.4039565235385141
3090,3,3.0,2,1493.0,0.0,0.3880164845259873,0.5658667455640222
3094,4,19.0,2,687.0,3.0,0.4959789905927808,0.3735866104689087
3097,11,13.0,2,20.0,3.0,0.512086393233404,0.1640582859678184
3099,11,61.0,2,1416.0,7.0,0.26055463400791823,0.2900093818585601
3100,17,82.0,2,959.0,7.0,0.13575505455080408,0.1911225851979192
3101,6,76.0,2,454.0,-7.0,0.13040459311716984,0.21691698505454712
3114,5,30.0,2,1304.0,2.0,0.4534388295533973,0.3775132837725067
3117,1,62.0,2,327.0,6.0,0.15908830486450007,0.32622715173272343
3120,9,18.0,2,1489.0,0.0,0.5501197604916535,0.3295325229035892
3122,3,48.0,1,929.0,-7.0,0.3175377129091871,0.3980283999340304
3125,2,82.0,2,22.0,-8.0,0.05983137100946787,0.08322768836592292
3126,3,86.0,1,1708.0,-8.0,0.1150457984555014,0.2538700205497787
3136,3,65.0,2,1461.0,0.0,0.21952493347516489,0.35256870223906844
3139,7,19.0,2,953.0,0.0,0.5292738367317583,0.34681622858060196
3143,3,15.0,1,257.0,0.0,0.4516111584258825,0.3463579719427496
3145,3,68.0,2,90.0,-3.0,0.12535112413669666,0.12739446730525245
3150,3,61.0,2,973.0,3.0,0.2392638352167184,0.36622101105895
3153,8,78.0,1,524.0,6.0,0.13059409690763915,0.2089596142310342
3157,15,31.0,2,1544.0,0.0,0.4836444910910372,0.31355507569696683
3159,12,68.0,2,1138.0,3.0,0.2149076218259458,0.2631837338047401
3161,1,59.0,2,663.0,10.0,0.2164614131424438,0.4197722954019705
3164,5,36.0,2,49.0,19.0,0.31488600535992955,0.17320265550392694
3167,1,84.0,1,1035.0,18.0,0.1175966965920681,0.3321533558195663
3169,1,55.0,1,498.0,18.0,0.22059870278602411,0.40401318772436096
3172,3,51.0,2,1626.0,0.0,0.3040391662912484,0.3914477597670402
3174,1,71.0,1,1376.0,0.0,0.17440692463179555,0.3990756050069849
3181,1,46.0,1,218.0,0.0,0.21532671734468745,0.3458468994903373
3182,10,44.0,2,165.0,0.0,0.2500243205852032,0.2266690820642337
3183,11,58.0,2,86.0,-7.0,0.1866014015578481,0.11964763753710013
3185,6,81.0,2,1396.0,11.0,0.14008208716900572,0.2451565147595481
3186,4,48.0,2,861.0,-11.0,0.32227694300684623,0.3782195505785365
3189,7,63.0,2,340.0,11.0,0.17735542809579904,0.2334429462906181
3194,5,25.0,2,900.0,-3.0,0.4783952419563215,0.3728773254202459
3196,2,66.0,1,644.0,0.0,0.18972770631252145,0.34839723630402825
3198,2,39.0,2,271.0,0.0,0.28498343182046565,0.3483670389130465
3199,7,8.0,2,153.0,0.0,0.5014646498567343,0.283516602320318
3204,5,15.0,2,1528.0,-10.0,0.5435371935629049,0.3566087269558376
3206,7,49.0,2,900.0,3.0,0.3299919004519425,0.344347641579016
3210,3,38.0,1,164.0,7.0,0.2687021782695675,0.2948462919167645
3211,3,72.0,1,1712.0,0.0,0.18008917897616786,0.32002214737682416
3213,9,66.0,2,1359.0,0.0,0.2257516629433548,0.2850651235318717
3216,7,51.0,2,1140.0,0.0,0.3214366551095407,0.3436251674272391
3221,7,59.0,2,546.0,-7.0,0.2359289179883312,0.2902306079441813
3228,4,89.0,2,638.0,-7.0,0.09335047038243867,0.20779739550308526
3233,3,53.0,2,1287.0,-10.0,0.2915183224302923,0.3908239067530234
3235,1,30.0,1,831.0,-10.0,0.3830505113114829,0.4721972423496188
3236,15,61.0,2,646.0,10.0,0.2431747993011376,0.2571027493972841
3238,7,72.0,2,1741.0,-12.0,0.18614858078523147,0.2707099652361431
3240,4,62.0,2,1208.0,-16.0,0.24083247413969724,0.3475272635539871
3242,1,43.0,1,986.0,10.0,0.3165251808534177,0.4749705896284523
3243,10,41.0,2,933.0,10.0,0.3957879858634141,0.335231733906015
3244,4,28.0,2,737.0,-17.0,0.4444179859280051,0.3841818287257228
3246,2,2.0,2,117.0,3.0,0.37996064655682255,0.4689080870891262
3251,3,57.0,2,965.0,9.0,0.2629531394195893,0.3784298242818138
3258,2,68.0,1,1258.0,5.0,0.1977166694894449,0.3680550354638182
3259,5,30.0,2,1023.0,5.0,0.4503467442813113,0.3779151627771972
3266,7,11.0,2,42.0,-2.0,0.529638587411452,0.18288719315086416
3268,7,90.0,2,1350.0,0.0,0.10203424496564406,0.1981639833786393
3270,4,4.0,2,992.0,0.0,0.4390801236247995,0.5136599961518465
3273,1,77.0,1,497.0,13.0,0.11994353286614065,0.30867035603081283
3276,1,1.0,2,80.0,13.0,0.2618086968016796,0.5816449819798747
3278,1,30.0,1,689.0,18.0,0.37638219458755495,0.46583453220318494
3279,3,56.0,2,401.0,-21.0,0.21893308978142573,0.3152071934704292
3281,8,73.0,2,157.0,-27.0,0.09533146063125304,0.14265549967572785
3282,1,49.0,1,114.0,-27.0,0.2268127162880943,0.22245047220002187
3283,6,15.0,2,42.0,-27.0,0.4919969587078344,0.1874111346643101
3286,3,55.0,1,1153.0,7.0,0.2782795167211871,0.3862446145107135
3288,1,81.0,2,970.0,-7.0,0.12822591278376466,0.3463944202616247
3289,6,55.0,2,724.0,7.0,0.27722258032325553,0.33077363940920435
3290,1,20.0,1,585.0,7.0,0.4239264104149517,0.4508390655311961
3291,3,11.0,2,476.0,7.0,0.51258418098982,0.3672760683700703
3296,2,54.0,2,1216.0,-3.0,0.2761423973736042,0.4144922740363096
3297,5,45.0,2,1137.0,-3.0,0.3542487418622628,0.3736596049833179
3299,1,21.0,1,769.0,7.0,0.42886062822697496,0.4608006090006383
3304,5,70.0,2,1094.0,-13.0,0.19546938361536545,0.3038281625807333
3305,2,67.0,2,922.0,6.0,0.19860379598874536,0.3674926268009861
3306,2,44.0,2,778.0,6.0,0.3247610898978403,0.4228216384463698
3313,2,80.0,2,1398.0,-16.0,0.13953643648159458,0.31147071164514617
3314,1,50.0,1,1332.0,-16.0,0.2821716244199883,0.4672436696137296
3315,14,35.0,2,1093.0,-16.0,0.4513721647666354,0.32044214823978817
3318,4,34.0,2,72.0,-2.0,0.3398583491356774,0.19090667779798506
3319,4,58.0,2,1696.0,0.0,0.2652170042645354,0.35485831357633
3320,1,12.0,1,1448.0,0.0,0.4849627416249978,0.4448154345380888
3324,9,77.0,2,511.0,-3.0,0.13430687999977395,0.2058877014073122
3326,7,52.0,2,71.0,-4.0,0.2133943952214397,0.13877657008805086
3329,9,37.0,2,1466.0,1.0,0.42657256797692217,0.3429932520230837
3331,5,26.0,2,983.0,1.0,0.4744178980053045,0.3746624649998927
3333,1,64.0,2,523.0,12.0,0.1785581235591147,0.3755734345270512
3334,7,72.0,1,280.0,-15.0,0.12187544918710184,0.1846774405386035
3336,4,69.0,1,120.0,15.0,0.0990518432614596,0.1642219480704608
3337,1,54.0,1,1639.0,0.0,0.2607760955848517,0.4554108283793594
3339,5,76.0,2,1181.0,7.0,0.1637683022051434,0.2786130464727637
3340,2,55.0,2,1084.0,7.0,0.2689355242262005,0.4114895146308777
3342,3,49.0,2,855.0,-9.0,0.3086387013464161,0.3937201439597213
3347,8,66.0,2,1626.0,18.0,0.22371877099545054,0.2882731242554369
3348,11,28.0,1,1367.0,18.0,0.4941428364993136,0.33066985154037376
3350,4,69.0,2,920.0,25.0,0.19576296263270665,0.3173389203017581
3354,7,28.0,2,120.0,25.0,0.34126847472457844,0.263100937672288
3355,1,64.0,1,1698.0,0.0,0.2081251742362911,0.4235275060555872
3356,7,22.0,2,1560.0,0.0,0.5164263062213349,0.3484597757329946
3360,9,45.0,2,900.0,-11.0,0.3636256097112655,0.3361843034921848
3361,2,12.0,2,793.0,-11.0,0.5091458860047092,0.404014058723405
3363,13,94.0,2,120.0,4.0,0.03889502814166485,0.07189877858449198
3364,10,75.0,2,81.0,4.0,0.1002781751850466,0.08553635530680669
3367,1,35.0,1,1488.0,-7.0,0.36479339224906615,0.4769327713912
3369,10,86.0,1,1311.0,7.0,0.11867666435811584,0.1994203929489368
3370,9,73.0,2,1229.0,7.0,0.1835496394484056,0.25921188830091896
3372,10,85.0,2,1044.0,-7.0,0.12216535280932612,0.2036576519968884
3373,5,7.0,2,737.0,-7.0,0.5752620760925435,0.34102041052105875
3375,1,52.0,1,134.0,-3.0,0.16244630289726344,0.2869509720856011
3385,3,64.0,2,1458.0,33.0,0.2252934171863779,0.3563123081855679
3386,2,43.0,2,1331.0,33.0,0.3422757479432207,0.4320137427644755
3390,4,47.0,1,78.0,23.0,0.2439793420423804,0.16752824278464076
3391,9,11.0,2,1644.0,0.0,0.5904608936340671,0.31603736439221475
3392,8,70.0,2,1560.0,-7.0,0.1996317520817817,0.2741541434918251
3394,8,65.0,2,1290.0,7.0,0.2309529769211932,0.29581275896023035
3396,4,30.0,2,555.0,-7.0,0.4164320167752485,0.3732001292037503
3398,8,75.0,2,382.0,4.0,0.12646183306496353,0.19395044186350896
3400,1,1.0,2,29.0,4.0,0.25380681116626663,0.5646773895817897
3402,2,23.0,2,912.0,-3.0,0.4530655281703015,0.4247347005734008
3404,5,48.0,2,597.0,4.0,0.3082281259809102,0.3457653765600053
3406,10,59.0,2,319.0,11.0,0.1990164799190121,0.22653265933509925
3407,1,23.0,2,215.0,11.0,0.3506348586455297,0.3946846140788413
3409,2,2.0,1,1397.0,0.0,0.3129853647366261,0.6410109142550056
3412,10,53.0,2,680.0,-1.0,0.29597301194371617,0.30394647653848217
3413,7,54.0,2,361.0,-1.0,0.2352498575176743,0.2692655944817241
3417,9,78.0,2,1087.0,-1.0,0.1556795027526202,0.2384730053729965
3420,2,65.0,2,224.0,2.0,0.1323470784547687,0.24214548339404585
3422,3,68.0,2,1724.0,0.0,0.20166541708924046,0.3367598043678564
3426,3,52.0,2,624.0,0.0,0.27450424529480505,0.3691915969060146
3427,8,25.0,2,557.0,0.0,0.47372742922015293,0.3337408530584531
3429,19,40.0,2,251.0,-3.0,0.31921184004725345,0.2332964747522128
3431,4,33.0,2,1279.0,-7.0,0.4264844761404581,0.3922802987212438
3437,5,9.0,2,250.0,0.0,0.5086880831629355,0.31531578094165513
3438,1,66.0,1,176.0,-7.0,0.113008064751342,0.24756738821660426
3441,4,18.0,2,407.0,0.0,0.4729414156921871,0.35354334663347525
3443,7,72.0,2,240.0,-3.0,0.11441755263104646,0.1735717583426595
3448,1,31.0,1,668.0,-7.0,0.3695526920943126,0.4647825722369451
3452,10,62.0,2,26.0,7.0,0.13910442765755165,0.09720133752868668
3453,1,66.0,1,1741.0,-10.0,0.19795488987331367,0.4149791433695461
3454,1,44.0,2,1608.0,-10.0,0.3155373023082062,0.4725227206730919
3456,3,68.0,2,1320.0,3.0,0.20268432639022724,0.3423306448589056
3457,5,41.0,2,943.0,-10.0,0.3770527010066896,0.3759097309804775
3459,10,93.0,2,807.0,10.0,0.08715467761009107,0.1655211092353156
3462,8,26.0,2,1645.0,0.0,0.4964065062897722,0.3444589080821614
3463,2,55.0,2,1481.0,-7.0,0.2709543450250622,0.4099731983370827
3467,2,67.0,1,785.0,0.0,0.19352264224791932,0.3594735828980149
3470,6,69.0,1,120.0,9.0,0.10099346113886087,0.15218633390620284
3476,6,34.0,2,515.0,-19.0,0.3976278832401609,0.3449324212178108
3479,4,29.0,2,1658.0,0.0,0.4522624658225404,0.3868971744691828
3480,1,66.0,1,1281.0,0.0,0.1982759426662044,0.4210669548765081
3481,1,8.0,2,918.0,0.0,0.4990914118058646,0.43678840025556537
3482,1,66.0,1,775.0,-7.0,0.18841889412184612,0.4058717249594084
3483,9,46.0,2,153.0,-3.0,0.2310112412643229,0.22151263429863932
3491,2,55.0,1,853.0,-3.0,0.26306090403464755,0.4051255920334124
3492,6,44.0,1,316.0,-6.0,0.2878845307485571,0.2931228342918705
3495,2,53.0,2,1321.0,3.0,0.2825510324076578,0.4163733552924929
3499,9,59.0,1,455.0,-13.0,0.22534496592468084,0.2619437217416388
3500,9,79.0,2,278.0,13.0,0.09535852581725247,0.15176351011208414
3513,3,39.0,2,159.0,6.0,0.2605529632711447,0.2903994830042929
3514,4,56.0,1,1473.0,-7.0,0.2785871697035417,0.3636731699385342
3515,1,66.0,1,1203.0,4.0,0.19789876763452605,0.42118933818657023
3516,1,45.0,1,1048.0,4.0,0.3067776029073313,0.4739722944052575
3519,12,36.0,2,479.0,-11.0,0.3969974730495401,0.30198969720381685
3522,1,26.0,1,54.0,-8.0,0.3611304513616968,0.2486197988526941
3524,6,20.0,2,1458.0,5.0,0.5221800715459872,0.3552669957632333
3526,2,64.0,2,1269.0,-8.0,0.21931708473099992,0.3836635707954836
3529,10,38.0,2,594.0,5.0,0.3943492893081213,0.32193142024108184
3531,2,55.0,2,1689.0,0.0,0.2705856431456522,0.407026214761803
3536,4,78.0,1,970.0,0.0,0.15029718393695146,0.2796152313525281
3537,4,47.0,1,835.0,0.0,0.3276243774452398,0.37887366745573375
3538,9,74.0,2,531.0,-3.0,0.15084437268160927,0.22063486552909586
3539,10,64.0,2,398.0,-3.0,0.18614392918326747,0.2284002088592529
3544,6,71.0,2,1731.0,-3.0,0.1908767279187654,0.28351614102621003
3545,7,87.0,2,1503.0,3.0,0.11354347856952035,0.20961802124019424
3546,6,82.0,2,1289.0,-3.0,0.13552616412657553,0.24160489996740944
3549,7,28.0,2,652.0,-9.0,0.4585695601365466,0.34828159315346724
3553,2,65.0,2,38.0,-13.0,0.11897188543299755,0.12718784998371258
3554,13,78.0,2,1464.0,-7.0,0.1572073820621504,0.2184988368318795
3557,8,14.0,2,784.0,-7.0,0.5586268530352116,0.32989225376345577
3558,8,45.0,2,593.0,0.0,0.3387732603073363,0.3248140832664138
3562,9,12.0,2,75.0,-3.0,0.5463013824227272,0.18039855723553885
3566,8,82.0,1,961.0,4.0,0.13415337109827324,0.2255575227248301
3569,5,36.0,2,629.0,-4.0,0.3921338477917508,0.3650746312042567
3571,7,12.0,2,413.0,-4.0,0.5335568622290245,0.31856546877093345
3572,4,79.0,2,1623.0,0.0,0.14718176328179616,0.2730226666744211
3574,4,71.0,2,1348.0,0.0,0.18904724332290665,0.31229251287203785
3575,3,25.0,2,1155.0,0.0,0.4628846090425142,0.4040194737811163
3578,6,88.0,2,900.0,3.0,0.10685566487488396,0.21130952709981696
3580,7,59.0,2,28.0,3.0,0.15268606150921166,0.11077905707626504
3582,2,67.0,2,1183.0,3.0,0.2026375123268496,0.37221302509925547
3588,7,15.0,2,120.0,0.0,0.4391758485682423,0.27693608859322183
3589,11,66.0,1,1633.0,0.0,0.2263897539354303,0.27057615455655354
3591,6,71.0,2,1424.0,-3.0,0.19223211496895848,0.28800645740959124
3592,4,57.0,2,1287.0,-3.0,0.2721518973192327,0.3627009031528217
3598,2,33.0,1,1571.0,2.0,0.402296376575294,0.4321081000202527
3599,2,2.0,2,1501.0,2.0,0.31352600014173626,0.6402419081510778
3600,2,80.0,2,1282.0,9.0,0.13952694866237386,0.31246773481539764
3602,4,66.0,2,774.0,-9.0,0.2068767872427877,0.3214740654549473
3610,3,27.0,1,110.0,3.0,0.4112617793314218,0.2216217857607952
3611,1,5.0,1,25.0,3.0,0.507245016258469,0.252606617314104
3613,1,74.0,1,1499.0,-3.0,0.16055700208826842,0.38349560711761854
3620,5,10.0,2,1534.0,0.0,0.5707138362428456,0.3465266039994017
3622,2,40.0,1,1138.0,7.0,0.3587392574806955,0.4346263347791533
3623,1,16.0,1,785.0,-14.0,0.4555221384197264,0.4528346378533791
3625,2,25.0,2,138.0,-7.0,0.33673698082150405,0.3327623099980512
3626,12,24.0,2,67.0,-7.0,0.4462170355832034,0.16579849732179272
3628,6,70.0,2,1760.0,7.0,0.1964475871017348,0.2870799703173447
3629,3,50.0,2,1427.0,-14.0,0.31054726356789664,0.3959036290489431
3631,10,58.0,2,828.0,7.0,0.2713527233984176,0.2998070614412377
3632,2,53.0,2,423.0,-14.0,0.2334263188593225,0.35278427506613524
3638,7,45.0,2,1332.0,-3.0,0.36402013604261535,0.35276324885068794
3639,3,31.0,2,1191.0,-3.0,0.4276768986091446,0.40915784033634606
3644,3,76.0,1,198.0,-13.0,0.0886068359579371,0.17479031218072424
3645,5,13.0,2,1424.0,-7.0,0.5541949749046851,0.3535636922096327
3650,1,64.0,1,675.0,-4.0,0.19229443570753155,0.4027398117713938
3651,8,59.0,2,593.0,-4.0,0.2434214717868711,0.2897903843264494
3653,10,19.0,1,378.0,-4.0,0.4946584729177232,0.30287028720732634
3656,9,31.0,2,1619.0,0.0,0.4675843339556168,0.3411909772811369
3658,6,84.0,2,1416.0,-7.0,0.12633532409626522,0.2314642684528733
3659,10,52.0,2,1285.0,-7.0,0.3221788047620584,0.32028364182286234
3660,13,75.0,2,1008.0,0.0,0.17228902092641468,0.2315598706569419
3665,2,75.0,2,1719.0,0.0,0.16161739382416865,0.3309207015082705
3666,1,61.0,1,1599.0,0.0,0.2237243018284885,0.4358501568585457
3675,6,92.0,2,1584.0,0.0,0.09388368569419824,0.19373598084064714
3678,6,57.0,2,652.0,-7.0,0.2582729147082444,0.3184853487266289
3679,7,64.0,2,279.0,4.0,0.15907095097383592,0.21300352718722745
3682,3,68.0,1,11.0,-11.0,0.10113255364989696,0.10300983003544216
3685,8,48.0,2,1237.0,-8.0,0.3458422216003749,0.34109622961871017
3686,10,75.0,1,1141.0,0.0,0.1725118279595034,0.2457218844028139
3690,1,72.0,1,1711.0,0.0,0.16916490297160672,0.3894236589482796
3691,3,64.0,2,1595.0,0.0,0.2249339784597041,0.35437516352832765
3695,10,77.0,2,454.0,-1.0,0.12825665821917442,0.19210043642118493
3700,1,78.0,1,1027.0,6.0,0.14128951225132735,0.36380257341119737
3707,1,65.0,1,1499.0,0.0,0.20346552925523312,0.4228572935793319
3711,5,46.0,2,906.0,0.0,0.3426408946612844,0.3694401051857731
3712,1,47.0,1,622.0,-6.0,0.2771307336282836,0.4469388485150508
3713,2,36.0,1,544.0,-6.0,0.35400620805634503,0.4099676630907592
3714,10,30.0,2,468.0,-6.0,0.4337407368605639,0.3140062475513005
3716,20,85.0,2,195.0,-1.0,0.06679471650137507,0.09686083141695938
3719,7,75.0,2,1751.0,1.0,0.16948624269796586,0.2581068245051009
3721,4,50.0,1,1075.0,5.0,0.3150961457271084,0.37911526879882296
3724,2,46.0,1,269.0,8.0,0.24152666309077744,0.3290081420189961
3725,1,66.0,1,1772.0,0.0,0.1978570533769141,0.4144124167452268
3727,15,17.0,2,1447.0,0.0,0.5753382786897929,0.3012290271190413
3729,3,68.0,2,1226.0,1.0,0.20243378829344666,0.3428129934459301
3740,1,12.0,1,293.0,-32.0,0.4335376400913124,0.41078268904873577
3746,7,7.0,2,1084.0,0.0,0.5442991632751659,0.4090671882306311
3747,2,82.0,1,898.0,7.0,0.12712472749571846,0.2968233034952128
3748,1,25.0,1,495.0,14.0,0.3879668492489596,0.44688591363641145
3750,7,28.0,2,141.0,10.0,0.3494606564568579,0.2692575547201573
3754,5,84.0,2,1560.0,-13.0,0.1254065281277502,0.2388770178502109
3755,3,67.0,2,1442.0,-13.0,0.2082137394803316,0.345088067728049
3763,4,42.0,2,123.0,14.0,0.2341663122960045,0.2557242514376982
3765,12,36.0,2,1243.0,0.0,0.441314028960964,0.3285611447256645
3767,5,77.0,2,988.0,-7.0,0.15675359251282495,0.27230885462450083
3769,8,68.0,2,559.0,-7.0,0.1850407640308057,0.2534172257381897
3771,1,51.0,1,99.0,7.0,0.20790742369445106,0.21040095455930008
3774,4,35.0,2,1666.0,-7.0,0.4145361515742177,0.38900492930773467
3780,2,45.0,1,641.0,14.0,0.309173668595084,0.4103779939131913
3781,8,40.0,1,510.0,14.0,0.36275897112021455,0.3226910580401023
3786,5,48.0,2,1114.0,14.0,0.3340006716949205,0.3692656828168802
3789,1,58.0,1,633.0,21.0,0.2192213229950509,0.41895601566298
3792,1,59.0,1,293.0,-15.0,0.1664873496543147,0.32623897391738943
3798,2,35.0,1,159.0,25.0,0.2777466160535353,0.32016796628633803
3800,4,89.0,2,1469.0,0.0,0.1048647668467991,0.2280334429908471
3805,3,39.0,1,443.0,-3.0,0.3326337884569438,0.3677864844986289
3806,6,29.0,1,354.0,-3.0,0.4027758895781913,0.3248754069519256
3810,1,29.0,2,1504.0,-6.0,0.3973117803953504,0.4732173812269277
3811,10,26.0,2,1444.0,-6.0,0.5041817060996826,0.3338194911706854
3815,6,64.0,2,591.0,-6.0,0.2088834874331968,0.2875145256767191
3817,2,21.0,1,65.0,1.0,0.4249005012135013,0.22989632683886765
3818,1,1.0,1,1273.0,0.0,0.20336083698494334,0.7516170919901728
3819,3,25.0,1,1042.0,-7.0,0.4613503057518721,0.4039626442133448
3821,1,69.0,2,795.0,7.0,0.17508563297680066,0.3948327617204669
3822,4,58.0,2,684.0,7.0,0.2482816886394721,0.34179423297451783
3823,5,59.0,2,320.0,-7.0,0.19188317206637107,0.2571506615740479
3825,4,46.0,2,1665.0,10.0,0.3430420264479357,0.3816004533116224
3826,4,55.0,2,1504.0,-17.0,0.2849160316849266,0.3659097522569446
3828,5,84.0,2,1284.0,17.0,0.12601518345024038,0.2419077379110321
3829,2,39.0,1,1160.0,17.0,0.3649314484748015,0.4350762215849857
3834,6,74.0,1,180.0,23.0,0.09499581211133087,0.15439202795824142
3836,4,53.0,2,1636.0,0.0,0.2974366551418466,0.3689861752354602
3837,1,16.0,1,1532.0,0.0,0.4653336316184642,0.45296684415048494
3838,5,5.0,2,1471.0,0.0,0.4854970120936675,0.468778098052015
3839,5,70.0,2,1376.0,-1.0,0.1965379544228404,0.30307473654183364
3841,6,67.0,2,613.0,1.0,0.19375317765698452,0.27917620522050296
3842,8,77.0,2,490.0,-8.0,0.13151569572075947,0.20740424012300987
3843,1,56.0,2,227.0,1.0,0.16648844961661538,0.3120344161770472
3848,6,76.0,2,1467.0,-4.0,0.1647824312483913,0.2663992123714225
3851,5,18.0,2,948.0,-7.0,0.5212475959313768,0.3641136488375306
3857,3,68.0,2,1755.0,0.0,0.20151633196509824,0.3362174545012953
3863,5,76.0,2,120.0,-7.0,0.07730771397640986,0.13550634275593318
3868,7,93.0,2,373.0,4.0,0.06358120202360383,0.1329501865971247
3871,1,71.0,2,1341.0,-3.0,0.17437233368956198,0.3993895790112539
3872,6,71.0,2,900.0,-4.0,0.18770001567999486,0.2853932890872993
3875,1,21.0,2,469.0,1.0,0.4075328654841455,0.4415963145496729
3876,2,67.0,2,208.0,-4.0,0.12075050935008087,0.2279685736228076
3877,5,60.0,2,129.0,-4.0,0.13931759355105142,0.1906360099590139
3884,3,27.0,2,659.0,-17.0,0.4345566998209656,0.3967030145670435
3886,10,34.0,2,259.0,-14.0,0.3542546346781753,0.2744318488809653
3888,1,54.0,1,1692.0,0.0,0.26070341623791565,0.4546054601996867
3889,5,81.0,2,1502.0,0.0,0.1391482591158922,0.25345334592420143
3893,1,38.0,1,873.0,-4.0,0.34086284071460343,0.4749498424283154
3894,6,19.0,2,722.0,-4.0,0.5145310527646121,0.3519051974489103
3895,1,66.0,1,525.0,1.0,0.16938154652280696,0.3674391151331031
3899,6,69.0,2,1243.0,1.0,0.20378808310311666,0.2975352094128374
3900,2,52.0,1,1130.0,1.0,0.2871431040118708,0.4188940206418735
3901,10,74.0,2,718.0,-5.0,0.1667486313702169,0.2366693220510684
3905,1,71.0,2,77.0,-5.0,0.10248464394346764,0.14138070409420406
3908,6,22.0,1,1410.0,-3.0,0.5101073164424486,0.3584356122115292
3910,4,64.0,2,1030.0,3.0,0.2268961730660337,0.339394348090232
3912,1,44.0,1,569.0,-3.0,0.28870171228699065,0.4451616081398729
3913,1,34.0,1,440.0,-3.0,0.32940766743475003,0.4367531029450603
3914,11,76.0,2,188.0,-4.0,0.09172499252957206,0.13326632604742444
3915,4,58.0,2,117.0,-4.0,0.1901742579258374,0.15462039405620318
3920,7,83.0,2,1444.0,1.0,0.13111052982965282,0.22791242467704154
3921,7,37.0,2,1015.0,-4.0,0.41562563329943697,0.35910380109852186
3922,5,27.0,2,628.0,1.0,0.4510839005369772,0.3654169694309248
3924,1,66.0,1,220.0,-3.0,0.1217339567690738,0.2663532896782195
3930,9,24.0,2,900.0,3.0,0.5067882378729597,0.3386495144271562
3936,1,59.0,1,1375.0,3.0,0.234166927257148,0.4451007785528323
3939,4,82.0,2,922.0,-6.0,0.13099274988367995,0.25959764605405944
3942,6,70.0,2,659.0,-6.0,0.1810155731872265,0.2728513553825285
3943,14,62.0,2,541.0,-6.0,0.2239926847645213,0.2451763052536691
3955,2,79.0,2,1407.0,16.0,0.14396748417761893,0.3163514175992451
3956,4,17.0,2,1199.0,16.0,0.5211053218158737,0.3751185330389911
3957,9,63.0,1,768.0,20.0,0.23382931891252945,0.2866099513155887
3958,8,26.0,1,587.0,20.0,0.4703536229086258,0.3362427896921102
3962,11,61.0,2,794.0,-10.0,0.2506093800063173,0.28386462446145216
3963,7,36.0,2,681.0,-10.0,0.4070147906644488,0.34953851517921364
3969,3,32.0,2,1399.0,3.0,0.4228653644106004,0.4084601809450829
3972,5,45.0,2,781.0,-13.0,0.3436221433448739,0.3660995704140672
3975,10,98.0,2,394.0,13.0,0.053676913992985915,0.11142129381691288
3977,3,59.0,2,225.0,-13.0,0.1641528763028786,0.2487863867085716
3978,1,66.0,1,1729.0,0.0,0.19799142171311304,0.4151958914240965
3985,17,49.0,2,114.0,-9.0,0.2676654751557442,0.13466990264334633
3986,2,44.0,2,2.0,-2.0,0.217001278054538,0.16784346875037012
3989,2,21.0,2,866.0,8.0,0.4629023431051205,0.4212886252998461
3996,4,55.0,1,1057.0,7.0,0.2827601108803497,0.3677371316510956
3998,2,27.0,1,609.0,7.0,0.4149343876139291,0.4173454729488792
3999,2,63.0,1,391.0,-14.0,0.1739146638371179,0.30706409112306604
4004,1,85.0,1,993.0,15.0,0.11336199602887745,0.3255655755495184
4009,4,37.0,2,104.0,-18.0,0.3335024963819351,0.19605320774732046
4015,1,26.0,2,24.0,-7.0,0.34547359392585736,0.2380417045685221
4016,8,53.0,2,1662.0,-4.0,0.310423595808801,0.32683715658572604
4018,7,15.0,2,1189.0,1.0,0.5559082169185203,0.34015843873757845
4021,11,62.0,2,773.0,-15.0,0.242810675977666,0.27948119078482725
4026,8,75.0,2,1670.0,0.0,0.17058798020331695,0.2523135920221733
4027,3,60.0,1,1551.0,0.0,0.24870334752371906,0.3687827116457256
4028,3,49.0,2,1444.0,0.0,0.3168412080214436,0.3975405737195598
4029,11,22.0,1,1042.0,-7.0,0.5300856061161059,0.32626771248409675
4034,3,57.0,2,33.0,-3.0,0.1583470561050137,0.13597911672149224
4035,6,44.0,2,10.0,-3.0,0.235354233437316,0.14049438857567853
4040,3,23.0,2,630.0,7.0,0.4565257653013103,0.3920863811664673
4043,11,56.0,2,205.0,-6.0,0.18803669105168988,0.2004392663475023
