,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
26,1,0,6,19.0,1070.0,2,7.0,0.5252085339503292,0.35570779331335184,3.477966854757188,1.0
28,1,0,13,23.0,808.0,2,14.0,0.5229893193627477,0.31637487996645514,3.0587367011157376,0.0
29,1,0,14,79.0,733.0,2,-17.0,0.14311917537275315,0.2026461546133969,-1.1042074487735003,0.0
30,1,0,8,82.0,350.0,1,-17.0,0.0944667462721394,0.16158497327515886,-0.6886219287895667,0.0
31,1,1,6,25.0,305.0,2,17.0,0.4192520886297695,0.3183247563925747,2.902576240150509,0.0
33,1,1,6,32.0,41.0,2,20.0,0.3463515583341833,0.17159491625998552,2.009698318486933,1.0
34,1,0,8,61.0,1742.0,1,-26.0,0.2553428443452734,0.3035545361783786,0.5429691842374285,0.0
35,1,0,11,74.0,1599.0,2,-33.0,0.17795997870438626,0.24092645493118314,-0.8607416609504528,0.0
38,1,1,7,35.0,1297.0,2,-40.0,0.4322846336691007,0.3592634340636703,2.732175563668208,1.0
41,1,0,5,59.0,892.0,2,37.0,0.25719161240244404,0.3391703203234794,1.2165234588101816,0.0
42,1,0,19,91.0,829.0,1,-37.0,0.09490717082551046,0.15013827281173675,-2.2589062496500945,1.0
43,1,0,8,65.0,730.0,2,-37.0,0.21772042958278945,0.28329284043296515,0.4269400075580032,0.0
