,Unnamed: 0,play_id,game_id,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,pass_length,pass_length.1,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
2733,39449,2019,2010103104,0,0,1,71.0,pass,37.0,3.0,deep,deep,,-3.0,0.09189304165436124,0.12691202151080408,0.7965658209493918,0.0
2734,39458,4029,2010103104,1,0,1,10.0,pass,203.0,3.0,short,short,,-5.0,0.4274718760692406,0.39369887346390026,3.781362303781551,0.0
2735,39459,4556,2010103104,0,1,1,66.0,pass,61.0,3.0,short,short,,-12.0,0.11733594922227715,0.1498948636096008,1.0327540299029885,0.0
2736,39482,3821,2010103105,1,0,1,89.0,pass,119.0,3.0,short,short,,-10.0,0.058376816849605835,0.10624655137184788,0.3504698412267247,1.0
2737,39515,1949,2010103107,1,0,1,74.0,pass,29.0,3.0,short,short,,-5.0,0.08034081037971894,0.11625103311746088,0.6830560760812212,1.0
2738,39554,2962,2010103109,0,0,1,67.0,pass,1092.0,3.0,short,short,,-15.0,0.19202366010345487,0.4163510446768151,1.5277719625445538,1.0
2739,39575,2094,2010103110,1,0,1,33.0,pass,23.0,3.0,short,short,,-10.0,0.29252841211137603,0.22460434157713424,2.2652967761912794,0.0
2740,39595,2322,2010103111,0,0,1,5.0,pass,1576.0,3.0,short,short,,0.0,0.5195954742062993,0.42616033151765204,4.26302005743586,1.0
2741,39627,1943,2010110700,0,0,1,37.0,pass,120.0,3.0,short,short,,4.0,0.2380223946649404,0.3335593863804057,2.526028215900064,0.0
2742,39757,238,2010110708,0,0,1,39.0,pass,1552.0,3.0,short,short,,0.0,0.3430283124851304,0.4762281493705984,3.4141245101168702,0.0
2743,39759,714,2010110708,0,0,1,70.0,pass,1174.0,3.0,deep,deep,,-7.0,0.17841880224289844,0.4042837007323118,1.2413292056104972,0.0
2744,39830,295,2010110800,1,0,1,55.0,pass,1515.0,3.0,short,short,,-7.0,0.2554760897258543,0.4546899210747734,2.426576998714859,0.0
2745,39932,1240,2010111402,0,0,1,64.0,pass,541.0,3.0,short,short,,13.0,0.1805380930053028,0.3795457624663331,1.6814408102162308,1.0
2746,39979,1928,2010111400,0,0,1,56.0,pass,114.0,3.0,deep,deep,,0.0,0.18480186754655767,0.2019630719073124,1.6096152561827703,0.0
2747,39985,3336,2010111400,0,0,1,76.0,pass,729.0,3.0,short,short,,-6.0,0.14102252333296128,0.35502369343260703,0.7561592374591317,1.0
2748,39995,1231,2010111404,0,0,1,24.0,pass,538.0,3.0,short,short,,-3.0,0.3979809622618393,0.4508422978586849,3.864356929252332,1.0
2749,40008,3682,2010111404,0,0,1,19.0,pass,522.0,3.0,deep,deep,,7.0,0.4240959931847335,0.4448881549437007,3.9807509508955454,1.0
2750,40045,1085,2010111409,1,0,1,81.0,pass,929.0,3.0,short,short,,0.0,0.12745950516844595,0.34472146575085755,0.2723236434474621,1.0
2751,40062,936,2010111408,0,0,1,1.0,pass,893.0,3.0,,,,3.0,0.2012857023591577,0.7519444739276363,5.682237881443959,0.0
2752,40152,883,2010112109,0,0,1,1.0,pass,818.0,3.0,short,short,,-3.0,0.200698956146778,0.7513364216592557,5.678060463279941,1.0
2753,40207,1532,2010112105,1,0,1,57.0,pass,244.0,3.0,short,short,,-4.0,0.1655819326088934,0.3150197912880954,1.7362789540742745,1.0
2754,40243,354,2010112101,0,0,1,69.0,pass,1509.0,3.0,short,short,,-3.0,0.18382840415748808,0.4063033119603877,1.2444132426194634,1.0
2755,40267,1533,2010112102,0,0,1,14.0,pass,354.0,3.0,short,short,,-20.0,0.4319471145873276,0.4214043114978602,3.9261596371962404,0.0
2756,40326,1953,2010112107,1,0,1,2.0,pass,116.0,3.0,short,short,,-15.0,0.5643350792202413,0.2676142660644318,3.4864802150488012,1.0
2757,40347,3007,2010112111,0,0,1,1.0,pass,503.0,3.0,short,short,,14.0,0.19654590099889527,0.7423394679230733,5.611661910468622,1.0
2758,40355,841,2010112112,1,0,1,10.0,pass,900.0,3.0,short,short,,7.0,0.4889141163123535,0.4415419917531628,4.2438521371690285,1.0
2759,40359,1213,2010112112,0,1,1,1.0,pass,477.0,3.0,short,short,,-14.0,0.19600049360966906,0.7408212644380205,5.600306687481981,1.0
2760,40373,1126,2010112113,0,0,1,78.0,pass,500.0,3.0,,,,4.0,0.11648608934627835,0.3044175822332402,0.5635310595135692,0.0
2761,40383,3539,2010112113,1,0,1,50.0,pass,278.0,3.0,short,short,,-1.0,0.2083235416898581,0.3553432663958633,2.2428577626317363,0.0
2762,40411,1533,2010112500,0,0,1,52.0,pass,155.0,3.0,short,short,,-11.0,0.16798383589217888,0.2965573875612281,1.8164883443957585,1.0
2763,40435,4479,2010112501,1,0,1,43.0,pass,47.0,3.0,short,short,,-3.0,0.2350625808571441,0.2105148408754557,1.9375275319351937,1.0
2764,40465,1339,2010112803,0,0,1,74.0,pass,314.0,3.0,short,short,,0.0,0.10811953614349552,0.2670027661151977,0.7519049567239735,1.0
2765,40467,1980,2010112803,0,0,1,43.0,pass,1602.0,3.0,deep,deep,,0.0,0.32104991425024,0.473482164880614,3.1958527543368014,1.0
2766,40481,1257,2010112807,0,0,1,8.0,pass,783.0,3.0,short,short,,7.0,0.4957817225866161,0.4355431447085155,4.250529975728647,0.0
2767,40503,1875,2010112801,1,1,1,73.0,pass,74.0,3.0,short,short,,10.0,0.09455359504619053,0.13454715801351716,0.8072303249900212,1.0
2768,40547,1856,2010112802,1,0,1,56.0,pass,14.0,3.0,short,short,,14.0,0.1463442525333213,0.16038482005709054,1.2802714725925697,1.0
2769,40569,2425,2010112805,0,0,1,1.0,pass,900.0,3.0,short,short,,0.0,0.2013359492637825,0.7519840565595746,5.682497331652613,0.0
2770,40570,2716,2010112805,1,0,1,41.0,pass,565.0,3.0,deep,deep,,-7.0,0.30507463176875105,0.4491388244030795,3.2118861094473665,0.0
2771,40571,3162,2010112805,1,0,1,21.0,pass,134.0,3.0,short,short,,-7.0,0.3407461809971027,0.3727240587409663,3.285008710974066,0.0
2772,40683,336,2010120200,0,0,1,1.0,pass,1381.0,3.0,short,short,,0.0,0.2038162943686664,0.7510147929885462,5.672170574954563,1.0
2773,40729,690,2010120506,0,0,1,61.0,pass,1045.0,3.0,short,short,,3.0,0.22135296969818202,0.4380050908329367,2.043563724473852,0.0
2774,40734,1388,2010120506,0,0,1,57.0,pass,431.0,3.0,deep,deep,,-6.0,0.20082527518285329,0.3800652502222897,2.0712805860638985,1.0
2775,40740,2574,2010120506,1,0,1,1.0,pass,1121.0,3.0,short,short,,5.0,0.20264957165423114,0.7521984325272574,5.682805157719728,1.0
2776,40800,987,2010120502,0,0,1,48.0,pass,721.0,3.0,short,short,,7.0,0.27896227978815696,0.45563112019123597,2.9245204701992016,1.0
2777,40817,749,2010120501,0,0,1,49.0,pass,929.0,3.0,short,short,,0.0,0.2824006710299646,0.4656999003204082,2.9137443283723554,0.0
2778,40861,2483,2010120512,0,0,1,73.0,pass,1466.0,3.0,short,short,,4.0,0.16513601869355066,0.3887424486102172,0.8819726503223047,0.0
2779,40919,2818,2010120507,1,0,1,76.0,pass,956.0,3.0,short,short,,-3.0,0.14857932717576014,0.3716664444172823,0.7317425087603446,1.0
2780,40951,1606,2010120600,0,0,1,54.0,pass,383.0,3.0,short,short,,-21.0,0.20834986632004168,0.37694401189402377,2.1986567386182867,0.0
2781,40998,3901,2010121203,0,0,1,36.0,pass,51.0,3.0,short,short,,-7.0,0.2851520800176259,0.2291538736072316,2.2510070506337696,1.0
2782,41028,2044,2010121201,1,0,1,63.0,pass,1713.0,3.0,short,short,,4.0,0.21317630243091304,0.4269710159095364,1.7248447034337844,1.0
2783,41046,2468,2010121202,0,0,1,73.0,pass,1225.0,3.0,short,short,,5.0,0.16482286412159994,0.3906452792676111,0.95040160136132,1.0
2784,41052,3596,2010121202,1,0,1,25.0,pass,155.0,3.0,short,short,,-14.0,0.3217904702728539,0.3742225488721559,3.187435037728432,1.0
2785,41054,465,2010121204,1,0,1,37.0,pass,1323.0,3.0,short,short,,0.0,0.3532356485504645,0.4785413521383023,3.5412902432507365,0.0
2786,41070,3513,2010121204,1,0,1,21.0,pass,75.0,3.0,short,short,,-7.0,0.4099959889257045,0.26110993262815363,2.9125291344042163,1.0
2787,41073,451,2010121205,1,0,1,71.0,pass,1401.0,3.0,,,,0.0,0.17441612406182624,0.3988160182549891,1.0895517966134127,0.0
2788,41089,3655,2010121205,1,1,1,31.0,pass,69.0,3.0,short,short,,-4.0,0.3309415156380455,0.2460428532364212,2.52489512185522,0.0
2789,41095,1167,2010121208,0,0,1,72.0,pass,629.0,3.0,short,short,,11.0,0.1519071620913246,0.3605056913634827,1.0859468440544535,1.0
2790,41134,2130,2010121200,0,0,1,56.0,pass,1746.0,3.0,short,short,,-32.0,0.24983147414862525,0.44864588390545945,2.2934063790951944,0.0
2791,41207,515,2010121213,1,0,1,1.0,pass,1237.0,3.0,short,short,,-7.0,0.2032011985258387,0.7517881990840658,5.6789706028348395,1.0
2792,41292,1429,2010121900,0,0,1,2.0,pass,417.0,3.0,short,short,,-6.0,0.5049503592860198,0.4084852290984507,4.163996195556212,1.0
2793,41310,4013,2010121900,1,0,1,8.0,pass,283.0,3.0,short,short,,-14.0,0.4548837488950261,0.4052760912354074,3.951510366939025,1.0
2794,41397,1289,2010121901,1,0,1,10.0,pass,404.0,3.0,short,short,,7.0,0.460948313047359,0.4221362796018189,4.055473990535679,0.0
2795,41421,418,2010121903,0,0,1,54.0,pass,1391.0,3.0,short,short,,7.0,0.2607248475949889,0.4585096734444298,2.5279412451961005,0.0
2796,41428,1737,2010121903,0,0,1,60.0,pass,132.0,3.0,short,short,,5.0,0.12674493971740916,0.2533768059049543,1.3084994693354983,1.0
2797,41461,2106,2010121905,1,0,1,32.0,pass,37.0,3.0,short,short,,13.0,0.3071171147095612,0.232096608941035,2.361245061999869,1.0
2798,41518,2305,2010121911,0,0,1,57.0,pass,1366.0,3.0,short,short,,-7.0,0.2446723892835101,0.4510235904075096,2.3074022178624105,1.0
2799,41546,2855,2010121913,1,1,1,1.0,pass,838.0,3.0,short,short,,4.0,0.20086478878747271,0.7515341938233713,5.6794450047272775,0.0
2800,41651,1292,2010122601,1,0,1,66.0,pass,657.0,3.0,short,short,,-11.0,0.1813603224820973,0.3919661476732004,1.591379649356239,1.0
2801,41658,2913,2010122601,0,0,1,69.0,pass,1399.0,3.0,short,short,,28.0,0.18389110039123602,0.40770180410545337,1.2755664345890103,0.0
2802,41660,3466,2010122601,1,0,1,81.0,pass,983.0,3.0,deep,deep,,-28.0,0.12843987133124027,0.34684552300128835,0.25795968641563105,0.0
2803,41691,2263,2010122606,0,0,1,32.0,pass,1605.0,3.0,short,short,,-1.0,0.3813956490355991,0.4744751827058843,3.7092961047695976,1.0
2804,41694,3098,2010122606,1,0,1,76.0,pass,737.0,3.0,,,,-2.0,0.1414168284979661,0.3559362261618502,0.7561104667130636,0.0
2805,41714,3202,2010122608,0,0,1,1.0,pass,740.0,3.0,short,short,,0.0,0.199972870635278,0.7502630402257999,5.670368417001977,0.0
2806,41848,627,2010122800,0,0,1,52.0,pass,1207.0,3.0,short,short,,-7.0,0.27064190840428304,0.4638537669456519,2.7025622361586903,1.0
