,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
3,1,0,5,39.0,1404.0,1,0.0,0.3955918913337844,0.3774566601664061,2.642543436776396,1.0
8,1,1,1,22.0,613.0,3,-3.0,0.415125363299188,0.4549845629613575,3.967254581708053,1.0
14,0,0,1,54.0,1429.0,1,-3.0,0.26079025929568816,0.4581346023700066,2.519950095501424,1.0
19,0,0,1,87.0,691.0,1,4.0,0.0979988692341208,0.29275944320947644,-0.19339597042210466,1.0
22,0,0,1,11.0,1464.0,2,0.0,0.4899845513514114,0.4423276672789087,4.218394890166452,1.0
27,1,0,22,87.0,900.0,2,-14.0,0.11225874096575908,0.1609488459913431,-2.093438298277678,0.0
32,1,0,9,74.0,211.0,1,-20.0,0.10231570189044452,0.15100719751690808,-0.1742547672155934,0.0
40,1,0,6,71.0,988.0,3,37.0,0.18980919291586465,0.28788653282279425,-0.006412170543140139,1.0
45,1,0,4,84.0,120.0,3,44.0,0.056246928831483835,0.11759288669401576,-0.30425364888224005,0.0
47,0,0,8,8.0,973.0,3,-3.0,0.5659359859657407,0.3858348858315394,4.190838181300749,0.0
53,0,0,1,35.0,1631.0,3,-7.0,0.3650927203579316,0.4754074098488658,3.584501011761092,1.0
65,0,0,6,60.0,98.0,3,4.0,0.1743659838086543,0.13296925241550944,1.0000808570443047,0.0
66,1,0,2,5.0,1605.0,3,0.0,0.5540418720969725,0.385633436705654,4.051023078131257,1.0
67,0,0,1,59.0,1539.0,2,-7.0,0.23423212212577466,0.4431749509916885,2.1080853331497065,1.0
80,0,0,1,1.0,537.0,3,-23.0,0.1971956780252916,0.7440814537461439,5.624668480987848,1.0
81,1,0,11,76.0,162.0,3,7.0,0.0871502878093763,0.12671244763917752,-0.3052961913041744,1.0
82,1,0,3,68.0,1729.0,2,0.0,0.2016417472920077,0.33667291000831523,0.5123988157795685,0.0
86,0,0,1,24.0,648.0,1,-11.0,0.40662417462837,0.4592100407228356,3.9331959763746087,1.0
91,1,0,3,59.0,195.0,1,-8.0,0.15673471431865127,0.2377441864049821,1.0653316209081387,1.0
94,0,0,2,55.0,99.0,3,7.0,0.1927885544585935,0.17627662310950534,1.4423366949975618,0.0
97,1,0,24,89.0,1018.0,2,-3.0,0.10548444825294603,0.15231402019453835,-2.3593187584410087,0.0
100,0,0,1,5.0,301.0,1,-7.0,0.4747176240032733,0.40357405783005057,4.023078411773248,1.0
101,1,0,10,81.0,80.0,1,7.0,0.07935242856392752,0.07426808079150607,0.1666154555523272,1.0
109,1,0,5,63.0,180.0,3,7.0,0.13836188899844235,0.1980318154694156,0.6232666211078373,0.0
111,0,0,8,13.0,48.0,2,7.0,0.5200139852304186,0.17943668699722942,2.676035669329775,0.0
116,1,0,13,77.0,35.0,2,-4.0,0.08235184828545189,0.06819676337826243,0.21445535647120284,0.0
119,0,0,1,81.0,1550.0,2,4.0,0.13056362299416796,0.34700026517084154,0.08277549611065815,0.0
120,0,0,2,6.0,1191.0,1,4.0,0.5466969635114199,0.39097769944080507,4.06759074207727,0.0
127,1,0,7,25.0,1090.0,3,-3.0,0.4952549481044216,0.3546983250318215,3.2200964979692563,1.0
128,0,0,1,1.0,1026.0,2,-3.0,0.2021391753135941,0.7523121970262034,5.684242999302173,0.0
129,1,0,4,69.0,608.0,3,-7.0,0.1785319872442669,0.2919587009027461,0.4939711493638317,0.0
133,1,0,1,55.0,41.0,3,3.0,0.161606071607858,0.17426135621398334,1.4078781452741769,1.0
136,1,0,6,60.0,1285.0,1,-13.0,0.2594800484527168,0.32924725413762884,0.9413383344879748,1.0
138,0,0,1,1.0,670.0,2,-6.0,0.19918756543230096,0.7487900760381881,5.659600210859074,1.0
146,1,0,7,87.0,1158.0,3,0.0,0.1137991957139272,0.2121394505614048,-1.6247797598633562,1.0
149,1,0,6,39.0,815.0,1,0.0,0.3907679511425478,0.3631461031626255,2.593189888297697,1.0
150,1,0,17,53.0,194.0,1,-7.0,0.2071810374890032,0.19034487220926927,0.7820117280843099,0.0
155,0,0,1,40.0,849.0,1,14.0,0.32905581195762273,0.4732159883976427,3.4054390833588237,1.0
157,1,0,10,47.0,513.0,3,-14.0,0.3181275909856169,0.2991586757001529,1.7033055858033996,1.0
166,1,0,1,66.0,1743.0,2,0.0,0.1979487259234305,0.4149428704566657,1.4500221547367829,0.0
168,1,0,2,67.0,1387.0,2,3.0,0.20323597960762504,0.3711756525182337,0.9834417067734542,1.0
170,1,0,1,55.0,310.0,2,1.0,0.1893899127000114,0.3486958273323469,1.9999899839105064,1.0
180,0,0,8,60.0,53.0,2,9.0,0.15838883523744754,0.11301314556462827,0.8489528219238771,0.0
182,1,0,16,90.0,1578.0,2,0.0,0.10150422849370984,0.1612103719256238,-2.454258400894189,0.0
184,1,0,2,67.0,1078.0,3,0.0,0.2016340624682328,0.3714656832526134,1.0607796196290276,1.0
195,1,0,26,91.0,1682.0,1,0.0,0.09679562381016102,0.1388455387506977,-2.781274766134953,0.0
206,1,0,11,53.0,127.0,3,8.0,0.18163219676865647,0.1852437069346032,0.8464734208492564,0.0
208,0,0,1,21.0,964.0,3,0.0,0.4344480780397623,0.4642499754055621,4.075973305524944,1.0
211,0,0,1,1.0,252.0,2,7.0,0.1887831269986557,0.7180735029747064,5.429303606010967,1.0
212,1,0,10,75.0,243.0,3,-14.0,0.10471251613354872,0.15296670834270995,-0.28256338040145823,0.0
219,0,0,12,96.0,332.0,1,18.0,0.05363083858969071,0.10357851452446178,-1.5198696881645288,0.0
224,1,0,2,67.0,1551.0,1,0.0,0.2030003988547973,0.3690385474571697,0.9361496065719936,1.0
237,1,0,11,76.0,1069.0,2,16.0,0.16686928751199884,0.2365067401739603,-0.8724732066671133,0.0
239,1,0,3,68.0,461.0,3,2.0,0.16409422724086556,0.28393289431275137,0.7085813640468772,1.0
240,1,0,2,57.0,337.0,2,2.0,0.19488604242252955,0.3140855780018164,1.5890664303284605,1.0
246,1,0,13,42.0,49.0,3,2.0,0.2824090987013325,0.136081667278589,1.4807712492835177,0.0
248,0,0,2,50.0,1570.0,2,-6.0,0.3005826570939889,0.4199180131312635,2.3669855274670732,1.0
251,1,0,20,31.0,903.0,2,1.0,0.4859296846527399,0.2997498308842628,2.530319582454522,0.0
252,0,0,1,36.0,774.0,1,-4.0,0.3479253098020414,0.4713411858886071,3.5689756585270347,1.0
259,0,0,4,85.0,561.0,3,30.0,0.10271828664383403,0.2154047715658429,-0.7720968152055687,0.0
261,0,0,2,32.0,304.0,3,30.0,0.33781534088641146,0.3702489881525222,2.9873092849113267,0.0
277,1,0,5,5.0,206.0,1,10.0,0.4361257564451239,0.4363656068177888,4.191167599212053,0.0
283,0,0,1,66.0,744.0,2,-21.0,0.1868447083766676,0.4028320002202429,1.618412288538638,1.0
287,0,0,1,66.0,125.0,2,-21.0,0.10267780170937296,0.2252598384032093,0.9706589950894984,1.0
294,0,0,1,40.0,711.0,2,-11.0,0.3224328480031997,0.4654954637400863,3.3607243800976656,1.0
299,0,0,1,58.0,1400.0,1,-3.0,0.23945673439158804,0.4478577745357763,2.221621958476854,1.0
300,1,0,3,68.0,1050.0,1,0.0,0.20085729252248605,0.3418318757419232,0.7052509613588649,1.0
310,1,0,5,8.0,447.0,3,7.0,0.5484923186456959,0.3329225065182122,3.6395484128069686,1.0
312,0,0,1,66.0,128.0,1,7.0,0.10328834824402074,0.22658016004173664,0.9760410010861998,0.0
318,0,0,1,53.0,1100.0,2,-7.0,0.2641767481960339,0.4612139000283557,2.6454668456884933,1.0
321,0,0,2,19.0,494.0,3,4.0,0.4507674424496906,0.4019390250081761,3.7178801614999815,1.0
333,0,0,1,52.0,684.0,2,5.0,0.25481972882073034,0.4432104960570818,2.650583260720745,1.0
340,0,0,1,36.0,1086.0,1,7.0,0.3565165334254795,0.4787584696033936,3.604121043772688,1.0
342,0,0,1,71.0,658.0,3,14.0,0.1583871573092492,0.3698155986812007,1.1777653561001231,1.0
354,0,0,1,13.0,109.0,2,0.0,0.4854476681413424,0.27293347937902873,3.2498551955682515,0.0
360,1,0,4,66.0,1050.0,2,-7.0,0.2154986060115458,0.3322813637955113,0.7031463407334828,1.0
362,0,0,1,28.0,462.0,2,-7.0,0.3669663225530339,0.4431739557805829,3.663962487832889,1.0
363,1,0,11,76.0,203.0,2,-6.0,0.09435434981777956,0.13702864698458544,-0.3376490217276502,0.0
368,1,0,2,76.0,1251.0,2,20.0,0.1576748164970138,0.3322242043915684,0.16725996989031255,1.0
369,1,0,3,8.0,1023.0,3,-20.0,0.554073504968469,0.3732225478054902,3.926643788761458,0.0
373,1,0,2,2.0,214.0,2,-13.0,0.2846525440936355,0.6027156489469933,4.903709792762403,0.0
374,0,0,10,54.0,75.0,3,6.0,0.20598211172924968,0.12701297964379726,1.0956583977365506,0.0
390,0,0,1,6.0,976.0,2,0.0,0.509788467774524,0.4318607941207129,4.2809228573674805,1.0
404,1,0,6,22.0,159.0,1,8.0,0.39670203995223546,0.2887360313256947,2.7401546069773848,1.0
416,0,0,1,57.0,864.0,2,-15.0,0.2375896628906661,0.4441975590111037,2.3544350916010286,1.0
424,1,0,7,72.0,1034.0,2,0.0,0.18610103881687548,0.27607857082996023,-0.21120342448991725,1.0
436,1,0,2,12.0,496.0,1,6.0,0.4911318108384676,0.3929900720543348,3.876267875401144,0.0
443,0,0,1,36.0,1217.0,1,-3.0,0.3579633952420085,0.4789328452541324,3.5962772444024487,1.0
451,1,0,6,54.0,1568.0,1,3.0,0.29883006391214795,0.34284580545743737,1.4000543646493964,1.0
452,0,0,1,1.0,1308.0,3,3.0,0.20351194555366656,0.7514352093177132,5.6758380657495735,1.0
458,1,0,27,27.0,1322.0,2,0.0,0.7099294158969861,0.223408448433212,3.3732400545423893,0.0
460,0,1,1,66.0,985.0,2,-4.0,0.1952246329326844,0.4180544080923973,1.6293950137783944,1.0
482,1,0,2,46.0,1113.0,1,0.0,0.32261830230342875,0.4291578574721373,2.7217346090655004,0.0
491,0,1,1,2.0,1124.0,2,19.0,0.5306009657804225,0.4207811928864559,4.301196660055491,1.0
494,0,0,3,17.0,849.0,2,27.0,0.5023451804386416,0.3908023188647775,3.762792098935795,0.0
500,1,0,6,80.0,1221.0,3,7.0,0.14487649447164128,0.25088978874470264,-0.9306577595961432,1.0
502,1,0,5,55.0,907.0,2,-14.0,0.2833277162132354,0.3510830355733208,1.552713764405294,0.0
504,0,0,1,85.0,584.0,2,-14.0,0.09867234031417553,0.28665816322785664,0.007014514430845553,1.0
507,1,0,6,44.0,1167.0,2,-21.0,0.3660380973774667,0.3638803264259143,2.2639235834682525,1.0
513,1,0,8,66.0,187.0,2,11.0,0.12954258349801145,0.1738195226428262,0.2938749659121917,1.0
517,1,0,9,79.0,1146.0,2,3.0,0.15099212367319967,0.23450675402824764,-1.0584902987403568,0.0
520,0,0,1,1.0,1450.0,2,-12.0,0.2040932177068602,0.7505765605828635,5.668383776959533,1.0
523,1,0,3,38.0,706.0,3,-9.0,0.36960454026352907,0.3994281399653844,2.944625937054928,1.0
524,1,0,1,6.0,473.0,3,-9.0,0.4892792575032284,0.4203945992704057,4.162046538190854,1.0
525,0,0,1,1.0,404.0,2,-9.0,0.19420523255607888,0.7355449972719064,5.560751292969731,0.0
526,0,0,1,55.0,212.0,1,2.0,0.1677599679167248,0.3097246563627723,1.7856446613532049,1.0
530,1,0,2,72.0,1013.0,3,10.0,0.17498906930113947,0.3489242918716786,0.6127765749636416,1.0
535,1,1,1,53.0,87.0,3,-10.0,0.19102649546045045,0.19945569200204066,1.6496582792961865,1.0
540,1,0,2,6.0,351.0,2,10.0,0.5076429974067409,0.3717306261293257,3.8595623935943983,1.0
542,0,1,1,31.0,178.0,3,-17.0,0.2913693979956916,0.3715395882442613,2.9930382237262187,1.0
548,1,0,6,50.0,1310.0,2,0.0,0.3261009709340116,0.3542602207924353,1.7923969141496272,1.0
553,1,0,1,13.0,120.0,1,7.0,0.3875414967922737,0.3747415071641232,3.5185857873679764,1.0
560,1,1,1,66.0,332.0,3,-13.0,0.14231130982512305,0.31039672249459005,1.3080759773566333,1.0
564,1,0,10,74.0,1633.0,1,0.0,0.17735191624886076,0.24532085627382705,-0.8136827215635738,1.0
567,1,0,2,64.0,1069.0,3,0.0,0.2176836581271737,0.3829551231870864,1.332307986222402,0.0
570,1,0,14,95.0,114.0,3,14.0,0.05034986837197706,0.054000422137334816,-0.23589774373090805,0.0
579,0,0,6,39.0,71.0,1,4.0,0.3067107993861462,0.16918015763818722,1.8170183914752545,0.0
591,1,0,2,10.0,137.0,1,-7.0,0.4374895764918172,0.3428543366882318,3.4402969363094726,1.0
597,1,0,5,23.0,1145.0,1,7.0,0.4951606458040542,0.3716232841342193,3.4172152850226105,1.0
601,1,0,7,16.0,305.0,3,11.0,0.4871774102181018,0.31037149439538425,3.1913064864410687,1.0
605,1,0,20,49.0,900.0,3,11.0,0.3505163271644848,0.2856187720311061,1.287790375608748,0.0
609,0,0,1,20.0,187.0,2,11.0,0.3620097270721651,0.389327231155322,3.4590214728858424,1.0
610,0,0,11,19.0,133.0,3,11.0,0.42692361921679495,0.2573613537952921,2.6289866149822587,0.0
616,1,0,9,75.0,703.0,1,0.0,0.16002260907027874,0.2365586392126553,-0.5071368893862376,1.0
619,1,0,6,68.0,53.0,3,3.0,0.11766711382499248,0.10167364039616243,0.614460487435354,1.0
623,1,1,2,57.0,1312.0,3,-3.0,0.2590924108713316,0.4062633653958435,1.8826220123275008,1.0
632,1,0,9,64.0,1025.0,2,17.0,0.2364185554607657,0.29217806977961464,0.3883302807920366,1.0
637,1,0,12,54.0,69.0,2,27.0,0.20497750276101187,0.12109979297681395,1.0492504414598742,0.0
639,1,0,18,88.0,1518.0,1,27.0,0.1098328840275074,0.16477626563061187,-2.3403154686146244,0.0
640,0,0,1,46.0,1359.0,2,27.0,0.3041060100193598,0.4730076850782892,3.0658850991021795,1.0
644,0,0,18,71.0,495.0,1,27.0,0.16587731803408967,0.19692825505469666,-0.431818038833762,0.0
647,0,0,7,48.0,169.0,1,21.0,0.22024443721000544,0.2310027779120433,1.351008197617276,0.0
652,1,0,9,98.0,1210.0,3,-7.0,0.07481620319855473,0.155591267892958,-2.6311793253120364,1.0
660,0,0,1,1.0,1081.0,3,3.0,0.20244245848513284,0.7522758639533832,5.6836362926745965,1.0
679,0,0,1,1.0,1349.0,3,6.0,0.20368451123709846,0.7512052743560039,5.673826555579496,1.0
684,0,0,1,32.0,366.0,2,-13.0,0.32899238800494285,0.4238029047966953,3.372542401127787,1.0
686,1,1,1,6.0,220.0,3,-13.0,0.4548873122619069,0.39363685411466026,3.8944452830068026,0.0
687,0,0,1,80.0,165.0,1,13.0,0.06787414644740368,0.18468097366270605,0.30370033564855137,1.0
689,0,0,2,2.0,1089.0,3,-7.0,0.3110574278489513,0.642607313134572,5.2307011579192215,1.0
697,1,0,6,22.0,1382.0,1,7.0,0.5100059285329586,0.3586468147856558,3.361342946563341,1.0
699,1,0,11,39.0,282.0,1,7.0,0.3261219412926031,0.2667087232368299,1.9227508627950889,0.0
700,1,0,7,22.0,120.0,1,7.0,0.38642173775812055,0.27152031816930783,2.598530984274464,0.0
706,1,0,11,76.0,237.0,2,-10.0,0.10025739201621588,0.1454622743925156,-0.3650616821516617,0.0
709,1,0,11,79.0,1294.0,3,11.0,0.1519393795051749,0.22414586297825054,-1.230455446471184,0.0
711,1,0,6,16.0,554.0,2,-11.0,0.5200802702232978,0.34118872691114754,3.469015101719675,1.0
718,0,0,1,65.0,1113.0,2,-3.0,0.2020832157391895,0.4245707432766796,1.6990025146804393,1.0
722,1,0,20,33.0,573.0,1,-3.0,0.4471212958551487,0.28712557662437965,2.3434160123271592,0.0
724,0,0,1,82.0,394.0,1,0.0,0.09166124925567934,0.255584019462788,0.2518278266891014,0.0
726,1,0,5,34.0,25.0,2,0.0,0.3170018302843481,0.16917171472644082,1.9054324604960584,0.0
730,1,0,2,62.0,1217.0,1,3.0,0.2301676044788644,0.3909572278966662,1.4789528139923294,1.0
731,1,0,3,47.0,1117.0,2,3.0,0.3276677505053732,0.40229152982506655,2.433716760108434,0.0
734,1,0,6,71.0,199.0,2,-3.0,0.10967613132937944,0.1700817199671096,0.1283905624729178,0.0
735,0,0,10,52.0,74.0,2,3.0,0.21883454769370927,0.130833278321549,1.1757692349980928,0.0
746,1,0,20,20.0,355.0,3,-14.0,0.6368086008915128,0.2398649049164279,3.3639760049552803,0.0
747,1,0,8,66.0,209.0,2,11.0,0.1345729062920783,0.1804574413404787,0.3017130568225129,1.0
749,0,0,1,71.0,1532.0,1,0.0,0.17429780816972554,0.3970791615203724,1.0512860298823214,1.0
756,0,0,1,74.0,120.0,2,7.0,0.07682136870959627,0.1907498765159828,0.5597600407783834,1.0
760,0,0,1,19.0,1441.0,3,-14.0,0.44960856543534794,0.4596119042584012,4.097329866999671,0.0
762,0,0,1,57.0,1016.0,1,-14.0,0.24161086707472004,0.4497878120190708,2.3595299509148457,1.0
766,0,0,1,56.0,119.0,2,11.0,0.1867781317354774,0.20409414226927544,1.6264693154788068,1.0
767,1,0,1,57.0,1692.0,3,0.0,0.244594404066162,0.44676296265161936,2.229009224623396,0.0
772,0,0,1,66.0,258.0,2,4.0,0.12902702277258069,0.2820087939511447,1.1980897571754905,1.0
781,1,0,10,82.0,117.0,3,11.0,0.08463780233222835,0.08036528043314145,0.15191104042423526,0.0
789,0,0,1,71.0,643.0,2,14.0,0.15732977324121458,0.36750180356345225,1.1735944248979229,1.0
790,1,0,14,72.0,485.0,2,14.0,0.15795564096871026,0.20211870574270904,-0.3816093451046743,0.0
797,0,0,2,42.0,120.0,2,-2.0,0.22172005742508905,0.28510861127350595,2.0150884033290803,0.0
798,1,0,4,62.0,60.0,2,2.0,0.14531040304251122,0.1258824655222174,0.9110514823299852,0.0
800,0,0,1,66.0,792.0,1,-10.0,0.18920733732605408,0.4073751979268628,1.6270493507982893,0.0
802,0,0,3,28.0,484.0,1,10.0,0.4101563009423802,0.3821388043550928,3.2613053947881903,1.0
805,0,0,1,66.0,235.0,3,-13.0,0.12464442571544458,0.2726063016914717,1.1610239643260782,1.0
806,0,1,1,16.0,51.0,1,-13.0,0.4365314081908361,0.2575024444644672,2.991022400660408,0.0
809,0,0,1,36.0,1173.0,2,3.0,0.3575589440787164,0.4789843456984302,3.5997618076324525,1.0
810,1,0,15,24.0,809.0,1,10.0,0.5214187927133975,0.3097106438148172,2.9672982600330333,0.0
814,1,0,18,65.0,292.0,3,13.0,0.16340061152247606,0.17781560904246804,0.06498157459104137,0.0
816,0,0,7,10.0,145.0,3,13.0,0.4846660219436398,0.2826877469933886,3.108180021038552,0.0
847,1,0,1,43.0,1412.0,2,0.0,0.3207364598962294,0.4755554429100744,3.229479750691076,1.0
855,1,0,2,67.0,17.0,3,-16.0,0.1044921645401376,0.11528428297228024,0.7635887765740115,1.0
876,0,0,1,12.0,30.0,3,17.0,0.4568919729127406,0.2535006302275612,3.040981620837658,1.0
888,1,0,1,61.0,1020.0,2,3.0,0.22093047047860329,0.4374766897993408,2.04572660965799,1.0
891,1,0,3,90.0,449.0,3,-3.0,0.07667102768247484,0.1864719908885776,-0.8592304767362888,1.0
894,1,0,3,10.0,11.0,2,4.0,0.4965682751710768,0.2063197242908507,2.8248417674349247,0.0
899,0,0,1,26.0,766.0,2,-7.0,0.4020826779376241,0.466788437472745,3.9219407902993706,0.0
905,1,0,19,49.0,120.0,2,-3.0,0.20885976995459754,0.17608117656148206,0.8853854465480018,0.0
908,0,0,1,66.0,1508.0,1,-7.0,0.19847497858922852,0.418806110062907,1.5176501098961743,1.0
917,1,0,2,46.0,373.0,3,7.0,0.2653154409320304,0.3603572241438281,2.358822274800997,1.0
920,0,0,4,39.0,1111.0,2,-11.0,0.3868134818507684,0.3922231611333371,2.7920376048030247,0.0
926,1,1,1,66.0,544.0,3,0.0,0.1714135617207062,0.37164842428850575,1.5290942336566886,1.0
928,0,0,1,72.0,1711.0,1,0.0,0.16916490297160672,0.3894236589482796,0.9020429327973936,0.0
929,1,0,3,58.0,1566.0,3,0.0,0.2607626532012665,0.3747335152091633,1.4796096379066055,1.0
930,1,0,11,41.0,1442.0,1,0.0,0.4036599131584693,0.3295538235493496,2.116073621963618,0.0
932,1,0,1,30.0,865.0,1,6.0,0.3841924709484552,0.4731521056131573,3.819157179856875,1.0
935,0,0,1,80.0,373.0,3,13.0,0.095641250774513,0.2587148195694327,0.38463220982189,1.0
937,1,0,10,49.0,16.0,3,13.0,0.2101242571803422,0.12012808578920227,1.1437548503560564,1.0
949,1,0,5,29.0,267.0,1,-19.0,0.3752264874766656,0.3167121278518502,2.7181773157801894,0.0
954,0,0,1,34.0,743.0,3,-4.0,0.35740221394855143,0.4698475205224201,3.6410893854637982,1.0
957,0,0,1,32.0,377.0,2,1.0,0.330942126658384,0.42618260062418223,3.3910062907994423,1.0
964,1,0,2,42.0,637.0,2,3.0,0.3269708779623261,0.4143781026882588,2.8821428130320115,1.0
965,0,1,1,26.0,532.0,3,3.0,0.3862391680926779,0.4513572975508259,3.7995915111336402,1.0
967,0,0,6,21.0,32.0,3,-1.0,0.4348209049130447,0.1817820618465664,2.4072900515191,0.0
968,0,0,1,66.0,1737.0,2,0.0,0.1979671538526142,0.4150515634873028,1.4517921004171086,1.0
978,0,0,1,55.0,642.0,1,35.0,0.2356239218465875,0.4297860536205846,2.4206471669058125,1.0
985,1,0,2,43.0,1075.0,3,0.0,0.3399963219718624,0.4322389681399418,2.9095946462325446,1.0
987,0,0,1,70.0,429.0,1,-7.0,0.14002377787137266,0.3240045750628667,1.1326583211546781,1.0
1004,1,0,13,88.0,606.0,2,-4.0,0.09719164986483776,0.16152216324223684,-1.6264216748779607,0.0
1005,1,0,22,36.0,363.0,2,4.0,0.3865382797033975,0.25573843020993364,1.9567783520325663,0.0
1008,1,0,9,69.0,1714.0,2,3.0,0.2055993412548691,0.2692399764714872,-0.2916316455754224,0.0
1009,1,0,5,33.0,1378.0,2,-3.0,0.43465257971877935,0.3782633355972543,2.978230887441477,0.0
1014,0,0,1,33.0,225.0,2,0.0,0.2920878218704628,0.3836443079454365,3.0274630808035137,1.0
1015,0,0,6,27.0,120.0,2,0.0,0.34502267743958503,0.27160137328603795,2.4164989441466567,0.0
1016,0,0,1,66.0,1738.0,3,0.0,0.19796409589669395,0.4150334742760672,1.451497226258156,0.0
1025,1,0,10,68.0,153.0,3,4.0,0.11448769167945662,0.15047253093753568,0.10737820499987104,0.0
1031,0,0,3,10.0,896.0,3,-8.0,0.5413760007045327,0.3774677756781887,3.89612365886248,0.0
1036,0,0,2,83.0,101.0,2,9.0,0.07250757612116622,0.10220476452788987,0.3875257362557346,0.0
1040,0,0,1,41.0,188.0,2,-1.0,0.2351074514990557,0.3498225123856594,2.5236177340201182,1.0
1054,0,0,1,21.0,525.0,2,9.0,0.4133729877919203,0.4472193520511086,3.934927636795853,1.0
1072,0,0,1,55.0,922.0,2,-3.0,0.2499813718021273,0.4523963016519584,2.5068474621961707,1.0
1075,1,0,2,37.0,1598.0,3,0.0,0.37865421947698297,0.4323307365793849,3.1674925498182294,1.0
1078,1,0,1,20.0,911.0,2,-14.0,0.4384917138770985,0.4620711021495877,4.093381942158909,1.0
1082,0,0,1,55.0,60.0,2,0.0,0.1690124455355992,0.18215031484646385,1.471204242099471,0.0
1085,1,0,3,60.0,1294.0,3,0.0,0.2487903886437051,0.37158913360394696,1.3747509701233132,1.0
1088,1,0,3,43.0,900.0,1,3.0,0.3479737490233617,0.4040623677697348,2.7007747159789592,0.0
1094,0,0,1,66.0,1510.0,2,-3.0,0.19847274843211185,0.41877783711876027,1.5170939792729352,0.0
1114,0,0,1,7.0,112.0,3,11.0,0.5292211095794715,0.2711623894627672,3.3904153020191585,1.0
1123,1,1,1,51.0,128.0,2,-21.0,0.16561831294096366,0.2881146247808353,1.7982753357893044,1.0
1127,0,0,1,16.0,1120.0,2,-7.0,0.4624487720334472,0.4554074737521018,4.17042432761188,1.0
1134,1,0,2,67.0,1724.0,1,1.0,0.20240870865844648,0.36617611491731866,0.8843518581282681,1.0
1139,1,0,4,32.0,743.0,3,-4.0,0.41962681414815184,0.3858265109490112,3.126733240947936,1.0
1142,0,0,1,69.0,1729.0,2,0.0,0.18329704321012705,0.4026288145194506,1.1789426703970638,1.0
1143,0,0,1,1.0,1551.0,2,0.0,0.20448469276363004,0.7498821748705138,5.662420518225766,1.0
1152,0,0,1,66.0,180.0,1,3.0,0.1138107736654336,0.2492978274016205,1.0680194601152944,0.0
1157,1,0,1,51.0,628.0,3,10.0,0.2558252787126059,0.43882414105220346,2.6816326611411707,1.0
1162,0,0,1,16.0,1180.0,2,-7.0,0.4630776862098667,0.4552575854083361,4.168427959173223,1.0
1170,0,0,1,66.0,161.0,2,4.0,0.10998542304625618,0.2410473845494237,1.0347564233726858,1.0
1171,0,0,1,55.0,112.0,2,4.0,0.1896886333213007,0.20413483362518486,1.6475056401507169,1.0
1179,0,0,10,47.0,188.0,2,18.0,0.23777050833147315,0.2256470609523508,1.317479453565304,0.0
1185,1,0,15,15.0,845.0,1,7.0,0.6544563707200393,0.2889668185819263,3.759150107453721,0.0
1186,0,0,1,52.0,686.0,2,-10.0,0.25496100162938995,0.4434312588280825,2.651651578253845,1.0
1195,1,1,1,26.0,727.0,3,-22.0,0.4002726004198918,0.4651972731603484,3.90985373822814,1.0
1200,0,0,7,95.0,261.0,1,15.0,0.049213289177844274,0.10647305244871856,-1.1307996526262547,0.0
1201,1,0,11,70.0,116.0,3,15.0,0.13289491950896762,0.1024948138377882,0.5328681446239073,0.0
1202,0,0,1,46.0,1670.0,1,0.0,0.3045066451209553,0.4695043447060929,3.006908327579706,1.0
1203,1,0,21,56.0,1576.0,2,0.0,0.3031474742798662,0.2669804497438273,0.4949338033647354,0.0
1204,1,0,4,56.0,1370.0,1,-7.0,0.2786352815142582,0.3647916557205584,1.5232164822615797,1.0
1214,1,0,24,89.0,401.0,2,11.0,0.07879242326560486,0.11576452909382255,-1.5924953485569977,0.0
1220,0,0,10,95.0,856.0,1,-3.0,0.08156615362516717,0.15955204715575666,-2.2583953099236704,0.0
1222,0,1,1,66.0,1734.0,1,3.0,0.1979762952887492,0.4151057672565488,1.45267643962726,1.0
1226,1,0,2,17.0,1065.0,1,-6.0,0.4888521346898299,0.41589066605616,3.9124788313465952,1.0
1240,0,0,1,52.0,900.0,2,4.0,0.2653459486462991,0.4587224291415958,2.7147797522267374,0.0
1242,1,0,5,41.0,271.0,1,6.0,0.29238009345707355,0.2970578320860002,2.0878617183970944,1.0
1250,0,0,1,44.0,220.0,2,2.0,0.2268307964892312,0.3532116871802002,2.4479107554427797,0.0
1252,1,0,1,46.0,30.0,2,-2.0,0.20813455945824666,0.19534120945690744,1.7450783683609812,1.0
1256,1,0,9,26.0,278.0,2,-7.0,0.4169981601371288,0.2924739932448553,2.6761714820835487,0.0
1260,1,0,17,33.0,1510.0,3,13.0,0.4731186756624857,0.3074646810667298,2.4183449838199342,0.0
1264,0,0,5,66.0,85.0,3,9.0,0.13632982082349102,0.1191185333393681,0.773102601589037,0.0
1272,0,0,1,1.0,102.0,1,7.0,0.2649298665109579,0.5882148739844528,4.830375172990563,1.0
1279,0,0,6,17.0,149.0,2,16.0,0.43004482809327255,0.2898019317724638,2.9180707653812785,1.0
1289,1,0,4,50.0,120.0,3,-8.0,0.1856045263115593,0.22939642296581456,1.3342069476270022,1.0
1291,0,0,1,66.0,1735.0,2,8.0,0.19797325356847445,0.4150877100200587,1.4523817072683605,0.0
1293,1,0,4,47.0,1472.0,1,-8.0,0.33680694452358056,0.3825738209601897,2.212832663514666,1.0
