,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
19276,0,0,1,50.0,1301.0,2,19.0,0.2820389903303193,0.4674315822188084,2.823322351106791,1.0
19277,1,0,1,66.0,937.0,2,-26.0,0.19415021398136034,0.41631553334335697,1.6326951810543138,0.0
19280,0,0,7,45.0,78.0,3,26.0,0.266544866074921,0.15553145853806769,1.5511548262188206,0.0
19285,1,0,2,46.0,862.0,1,4.0,0.3166208703926241,0.4241649426489864,2.7204289753143085,0.0
19291,0,0,1,21.0,692.0,1,-4.0,0.4253317119789489,0.4580000806100549,4.026613775004312,0.0
19292,1,0,16,16.0,482.0,3,4.0,0.6389118722896658,0.273654159884826,3.6160642384541086,0.0
19305,0,0,1,52.0,230.0,1,-4.0,0.1868099891328288,0.32909771321046444,2.0092611218006757,1.0
19310,1,0,2,26.0,647.0,3,4.0,0.4238134714355792,0.4192880105223503,3.607311548402599,1.0
19313,0,0,3,62.0,188.0,1,11.0,0.1408612261679808,0.2238537799196218,0.8798458281341831,1.0
19316,1,0,9,35.0,1519.0,2,0.0,0.4404090157839125,0.34282518972833825,2.581291847202338,0.0
19336,0,1,1,49.0,501.0,3,-3.0,0.25313857768873904,0.4225020530764636,2.689008037083937,1.0
19343,0,0,1,71.0,739.0,1,-4.0,0.1632502641578452,0.3803026498875817,1.1931826825883145,0.0
19349,0,0,1,56.0,1215.0,1,-4.0,0.2493029371307421,0.4544359046896989,2.4126513058735464,0.0
19351,1,0,3,39.0,621.0,2,1.0,0.35621149928592616,0.3918882275651965,2.8483997199526345,0.0
19357,0,0,4,77.0,1397.0,3,1.0,0.1576556423963312,0.28535626522271873,-0.44571668132495423,0.0
19362,0,0,6,31.0,139.0,2,6.0,0.3230012972739011,0.2703419057832095,2.270065549827314,1.0
19367,1,0,2,50.0,736.0,1,0.0,0.2864368769927473,0.40965741034062897,2.427242556757797,1.0
19370,1,0,10,68.0,353.0,2,0.0,0.1561531820545938,0.2040822851760528,0.10535965500912756,0.0
19371,1,0,1,59.0,120.0,2,7.0,0.12798939281536106,0.2520244084890473,1.3355744514845551,1.0
19375,0,1,1,58.0,1401.0,2,-14.0,0.2394581766178157,0.4478478706286549,2.221395125157485,0.0
19378,0,0,17,99.0,802.0,3,14.0,0.0683402633377506,0.1256878322731661,-2.697013449050712,0.0
19383,1,0,3,62.0,829.0,3,0.0,0.22869074658873284,0.35693462429157874,1.2722737203492542,1.0
19384,1,0,4,29.0,642.0,1,0.0,0.4314602010073619,0.3798053285994183,3.219015653656339,1.0
19390,0,0,3,39.0,113.0,1,7.0,0.3167905799907529,0.20549467814113792,2.1023049319011866,1.0
19394,1,0,8,54.0,1463.0,1,4.0,0.3041948526138653,0.3270954749733317,1.2578833944549743,1.0
19399,0,0,1,8.0,322.0,3,6.0,0.4610934822263568,0.4103580656793824,4.001373026268458,1.0
19402,0,0,1,6.0,19.0,1,12.0,0.4970645259682946,0.2514358865402063,3.166594712877366,1.0
19403,1,0,2,61.0,1645.0,1,0.0,0.2359041897793428,0.3898310213687105,1.456301381502566,1.0
19419,0,0,1,59.0,141.0,1,3.0,0.13295438621154396,0.2616463491925985,1.3846549311951328,1.0
19435,1,1,9,79.0,1158.0,1,7.0,0.1510521388212467,0.2345207657495952,-1.0629920418722631,0.0
19438,0,0,1,7.0,168.0,1,7.0,0.4376169872471147,0.3851552032608544,3.782171954629944,1.0
19448,0,0,4,65.0,203.0,3,31.0,0.13308190067563713,0.20692665185152967,0.6135341099778149,1.0
19449,0,0,9,55.0,73.0,1,31.0,0.19753432056097625,0.12681776103945938,1.068710034335349,0.0
19452,0,1,1,35.0,979.0,1,0.0,0.3600763958447521,0.4775564606594088,3.6448857886829695,0.0
19454,0,1,2,30.0,686.0,1,-3.0,0.4029951383419349,0.4236604098771917,3.4810336343291914,0.0
19455,0,0,1,19.0,312.0,3,-4.0,0.3959247728634355,0.41779718010846495,3.7409113103855764,1.0
19458,0,0,1,26.0,1399.0,1,-7.0,0.4128726742271434,0.4708534352632668,3.9334200028596658,1.0
19465,0,0,5,63.0,1477.0,3,0.0,0.2379652165139791,0.3283846947590607,0.7262849241901062,0.0
19466,0,0,1,60.0,1363.0,1,0.0,0.2289302998588067,0.4420760135111526,2.069257754840029,0.0
